	业务子类	受理时间	受理日类型	受理紧急程度	受理重要程度	首次评议	通话时长	供电所类型	用电类型	该线路当天跳闸重合闸成功次数	该线路当天跳闸重合闸不成功次数	前一天至当天成功	前一天至当天不成功	前两天至当天成功	前两天至当天不成功	前三天至当天成功	前三天至当天不成功	受理变电站编号	受理用户前半年总工单	受理用户前半年一般工单提级投诉	受理用户前半年意见不提级工单	受理用户前半年意见转投诉工单	受理用户前半年投诉工单	受理当天温度：最大/最小/平均	受理当天温度：最大/最小/平均.1	受理当天温度：最大/最小/平均.2	受理前期三天温度：最大/最小/平均	受理前期三天温度：最大/最小/平均.1	受理前期三天温度：最大/最小/平均.2	受理后期三天温度：最大/最小/平均	受理后期三天温度：最大/最小/平均.1	受理后期三天温度：最大/最小/平均.2	受理当天/前三天/后三天最恶劣天气	受理当天/前三天/后三天最恶劣天气.1	受理当天/前三天/后三天最恶劣天气.2	受理当天最大/最小/平均风力	受理当天最大/最小/平均风力.1	受理当天最大/最小/平均风力.2	受理前三天最大/最小/平均风力	受理前三天最大/最小/平均风力.1	受理前三天最大/最小/平均风力.2	受理后三天平均最大/最小/风力	受理后三天平均最大/最小/风力.1	受理后三天平均最大/最小/风力.2	受理当天风向	47-49/受理前三天最大/最小/平均负荷	47-49/受理前三天最大/最小/平均负荷.1	47-49/受理前三天最大/最小/平均负荷.2	业务类型	工单风险类别
12	1	9	2	1	1	3	85	1	4	0	0	0	0	0	0	0	0	9	1	0	0	0	0	23	19	20.7	25	11	19.66315789	26	19	21.80438596	8	7	7	4	1	2.0	3	1	2.15	3	1	2.052631579	1	922.263	511.173	714.779	10	1
13	1	12	1	1	1	3	190	1	4	0	0	0	0	0	0	0	0	29	1	0	0	0	0	31	25	26.87234043	33	25	28.64539007	30	25	26.26661666	11	9	9	2	0	1.659574468	3	1	1.723404255	2	0	1.617021277	2	1225.726	814.015	988.198	9	1
14	1	19	1	1	1	3	153	1	4	0	0	0	0	0	0	0	0	12	1	0	0	0	0	33	27	29.89473684	32	24	27.02436647	30	22	25.71929825	12	10	10	4	2	3.421052632	4	2	3.315789474	5	3	4.473684211	1	950.772	583.123	761.475	10	1
15	1	12	1	1	1	3	291	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	31	25	27.89473684	32	25	28.71842105	31	25	27.60438596	11	9	10	3	0	1.526315789	3	0	1.35	3	0	1.473684211	1	1159.181	752.716	926.253	10	1
16	1	8	2	1	1	3	151	1	3	0	0	0	0	0	0	0	0	29	2	0	0	0	0	31	25	27.25	32	24	28.99603175	33	25	28.93080808	11	9	10	3	1	1.625	2	0	1.291666667	3	1	1.866666667	1	1300.911	849.278	1053.777	9	1
17	1	18	1	1	1	3	89	1	4	0	0	0	0	0	0	0	0	9	1	0	0	0	0	12	11	11.54166667	16	10	12.59722222	26	12	19.52777778	5	4	4	3	0	2.0	3	1	2.125	2	0	1.375	2	939.942	343.968	601.168	10	1
18	1	15	2	1	1	3	0	1	4	0	0	0	0	0	0	0	0	37	3	0	0	0	0	24	17	19.95	25	15	20.35087719	25	17	20.74912281	9	6	7	2	0	1.5	3	0	1.647058824	3	0	1.421052632	2	992.207	556.873	756.687	9	1
19	1	11	1	1	1	3	139	1	4	0	0	0	0	0	0	0	0	42	1	0	0	0	0	31	25	27.42105263	31	23	26.41666667	32	24	27.16052632	11	9	10	2	0	1.315789474	3	0	1.529411765	3	1	1.631578947	9	1165.255	728.56	928.069	10	1
20	1	9	2	1	1	3	0	1	4	0	0	0	0	0	0	0	0	37	5	0	0	0	0	24	17	19.95	25	15	20.35087719	25	17	20.74912281	9	6	7	2	0	1.5	3	0	1.647058824	3	0	1.421052632	2	992.207	556.873	756.687	9	1
21	1	0	1	1	1	3	133	1	4	0	0	0	0	0	0	0	0	3	2	0	0	0	0	33	28	30.375	34	27	31.15277778	32	26	29.20833333	12	10	11	3	0	1.625	3	0	1.791666667	3	1	1.875	6	1324.661	816.401	1032.836	9	1
22	1	16	1	1	1	3	132	1	4	0	0	0	0	0	0	0	0	9	2	0	0	0	0	32	24	27.89473684	32	23	27.30350877	27	17	23.05263158	11	9	10	4	1	2.105263158	3	1	2.421052632	4	2	3.210526316	2	991.708	622.96	812.893	10	1
23	1	10	2	1	1	3	170	1	4	0	0	0	0	0	0	0	0	9	1	0	0	0	0	29	23	25.89361702	34	24	28.36679001	32	24	28.06646962	10	8	9	3	1	1.936170213	3	0	1.638297872	3	2	2.106382979	8	1284.578	888.156	1056.801	10	1
24	1	12	1	1	1	3	128	1	4	0	0	0	0	0	0	0	0	15	3	0	0	0	0	31	26	28.38888889	31	24	27.53333333	33	24	28.13596491	11	9	10	3	2	2.277777778	4	1	2.789473684	3	0	1.368421053	1	1155.931	491.859	830.258	10	1
25	1	9	1	1	1	3	351	3	9	0	0	0	0	0	0	0	0	44	1	0	0	0	0	31	26	29.10526316	34	26	30.16403509	32	26	29.45438596	11	9	10	3	1	1.684210526	3	1	2.0	3	1	1.842105263	1	1208.661	846.851	1019.575	10	1
26	1	9	1	1	1	3	151	1	4	0	0	0	0	0	0	0	0	26	1	0	0	0	0	30	26	28.25	32	24	28.55555556	32	27	28.97222222	11	9	10	6	2	4.25	5	1	3.166666667	6	2	4.416666667	1	1239.88	826.345	1017.127	10	1
27	1	8	1	1	1	3	157	1	4	0	0	0	0	0	0	0	0	29	1	0	0	0	0	24	15	20.47368421	24	12	17.05	29	21	24.57962963	9	6	7	3	1	1.736842105	2	0	1.0	3	1	2.111111111	1	946.749	526.183	712.759	10	1
28	1	20	1	1	1	3	55	3	4	0	0	0	0	1	0	1	0	30	2	0	0	0	0	32	29	30.63636364	32	28	30.39393939	33	26	30.39393939	11	10	11	3	0	1.636363636	2	1	1.818181818	3	1	2.0	1	1472.275	1010.304	1205.728	6	1
29	1	19	1	1	1	3	290	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	20	13	15.9	22	10	14.43684211	23	15	18.7622807	7	5	6	2	0	1.15	2	1	1.736842105	4	2	2.789473684	9	917.985	437.229	657.617	10	1
30	1	17	2	1	1	3	98	3	9	0	0	0	0	0	0	0	0	36	3	0	0	0	0	29	24	26.60869565	28	24	25.82729469	27	20	23.39130435	10	9	9	3	1	1.782608696	3	1	2.083333333	4	2	2.652173913	2	1200.126	764.101	980.68	3	1
31	1	10	2	1	1	3	96	1	2	0	0	0	0	0	0	0	0	31	5	0	0	0	0	29	24	26.33333333	32	28	29.63257576	32	25	29.125	10	9	9	2	1	1.291666667	2	0	1.0	2	1	1.625	1	1335.222	885.228	1116.041	10	1
32	1	9	2	1	1	3	107	1	4	0	0	0	0	0	0	0	0	37	2	0	0	0	0	19	13	15.45833333	23	13	17.51388889	22	12	15.16002415	7	5	6	6	1	5.041666667	5	1	3.666666667	6	2	5.826086957	2	964.721	521.473	700.001	10	1
33	1	18	1	1	1	3	104	1	4	0	0	0	0	0	0	0	0	37	2	0	0	0	0	30	25	27.94736842	33	26	28.72982456	33	25	29.57192982	11	9	10	5	1	2.684210526	3	0	1.55	3	1	2.473684211	1	1163.818	748.472	933.964	10	1
34	1	8	2	1	1	2	146	3	4	0	0	0	0	0	0	0	0	24	1	0	0	0	0	30	22	25.42105263	28	18	22.21481481	29	22	23.91491228	11	8	9	2	0	1.052631579	3	0	1.055555556	3	1	2.052631579	2	890.32	477.695	639.969	3	1
35	1	16	1	1	1	3	165	2	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	30	27	28.55	31	23	27.94736842	32	27	29.63684211	11	10	10	4	2	3.2	4	2	2.526315789	6	3	4.75	1	1011.231	570.779	774.635	9	1
36	1	17	2	1	1	3	56	1	4	0	0	0	0	0	0	0	0	12	1	0	0	0	0	21	11	13.23076923	27	20	22.44781145	18	8	11.90958165	8	4	5	3	2	2.692307692	3	1	2.0	4	2	2.631578947	9	869.983	454.427	643.29	9	1
37	1	11	2	1	1	3	0	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	17	10	13.16666667	15	7	10.70833333	20	13	16.08333333	6	4	5	3	1	1.875	3	1	2.3125	3	1	1.708333333	9	1406.758	847.713	1102.949	9	1
38	1	16	1	1	1	3	169	1	9	0	0	0	0	0	0	0	0	29	1	0	0	0	0	32	26	29.34042553	32	25	27.91125659	31	27	28.36463151	11	9	10	2	1	1.723404255	3	0	1.510638298	3	1	1.891304348	1	1097.833	640.649	866.912	3	1
39	1	13	1	1	1	3	452	1	4	0	0	0	0	0	0	0	0	3	1	0	0	0	0	24	21	22.125	22	13	16.11594203	28	19	22.84722222	9	8	8	6	1	4.0	6	0	4.304347826	7	2	5.75	1	993.213	525.887	735.476	10	1
40	1	9	1	1	1	3	64	1	4	0	0	0	0	0	0	0	0	26	1	0	0	0	0	26	19	22.9	30	20	25.07592593	30	17	22.71666667	9	7	8	4	1	2.2	2	0	1.25	3	1	1.789473684	9	907.59	506.868	699.429	10	1
41	1	16	1	1	1	3	257	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	22	16	18.75	23	11	16.97982456	21	12	16.61247563	8	6	7	2	0	1.0	2	0	1.35	4	2	2.166666667	2	895.261	487.575	664.359	9	1
42	1	14	1	1	1	3	104	1	4	0	0	0	0	0	0	0	0	26	1	0	0	0	0	19	12	14.82608696	23	14	19.77868357	21	11	15.99818841	7	5	5	5	2	2.913043478	3	1	1.8125	3	1	1.956521739	9	1125.854	655.96	882.15	10	1
43	1	18	2	1	1	3	175	1	4	0	0	0	0	0	0	0	0	15	1	0	0	0	0	30	25	27.16666667	29	25	26.50724638	31	19	25.73148148	11	9	10	3	1	1.791666667	3	2	2.47826087	4	2	2.916666667	1	1055.665	664.245	854.872	10	1
44	1	9	2	1	1	3	0	3	4	0	0	0	0	0	0	0	0	42	3	0	0	0	0	11	5	7.368421053	15	4	6.734210526	15	5	10.85350877	4	2	3	6	1	2.842105263	3	1	2.15	3	1	2.45	9	1123.076	544.402	810.077	6	1
45	1	17	2	1	1	3	69	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	33	28	30.54545455	32	27	30.11363636	33	27	30.81313131	12	10	11	5	1	4.090909091	6	2	4.833333333	6	4	5.272727273	1	1346.72	886.814	1086.056	10	1
46	1	12	4	1	1	3	213	1	4	0	0	0	0	0	0	0	0	12	1	0	0	0	0	17	10	13.26315789	16	8	11.85	21	9	15.56140351	6	4	5	4	1	2.263157895	3	1	2.0	3	1	1.842105263	9	947.315	509.988	705.625	10	1
47	1	10	1	1	1	3	1003	1	2	0	0	0	0	0	0	0	0	37	1	0	0	0	0	28	24	25.41666667	28	22	24.97222222	29	20	24.55193237	10	9	9	6	2	3.791666667	5	0	3.583333333	6	2	4.833333333	1	1016.771	602.984	792.531	10	1
48	1	9	1	1	1	2	142	1	4	0	0	0	0	0	0	0	0	3	1	0	0	0	0	33	24	28.78947368	34	25	29.39311594	34	27	30.38888889	12	9	10	2	0	1.421052632	2	0	1.260869565	3	1	2.125	6	1250.741	713.366	964.473	9	1
49	1	18	1	1	1	3	0	2	4	0	0	0	0	0	0	0	0	16	2	0	0	0	0	32	24	27.2173913	31	24	26.89855072	33	25	29.43478261	11	9	10	5	0	1.782608696	2	0	1.304347826	5	1	2.565217391	1	1276.276	828.94	1049.058	10	1
50	1	21	1	1	1	1	0	3	4	0	0	0	0	0	0	0	0	35	1	0	0	0	0	32	26	28.26315789	32	26	29.19035088	32	25	27.23333333	11	9	10	3	2	2.473684211	3	2	2.55	4	2	3.15	1	1106.455	722.652	911.019	6	1
51	1	12	1	1	1	3	434	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	31	24	28.15789474	31	22	27.36532508	31	27	29.15350877	11	9	10	4	2	3.052631579	4	1	2.526315789	6	3	4.75	1	956.555	541.099	745.864	9	1
52	1	9	1	1	1	3	175	3	4	0	0	0	0	0	0	0	0	35	4	0	0	0	0	29	24	26.63157895	30	24	28.12894737	31	24	27.98830409	10	9	9	2	1	1.684210526	3	0	1.105263158	4	1	2.333333333	1	1029.003	635.573	827.675	9	1
53	1	14	3	1	1	3	214	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	30	23	26.15	29	20	24.07017544	30	22	24.84736842	11	8	9	3	2	2.55	4	1	2.736842105	5	2	2.842105263	9	922.555	543.472	707.669	10	1
54	1	14	1	1	1	3	349	1	4	0	0	0	0	0	0	0	0	26	1	0	0	0	0	21	17	18.44444444	25	16	20.87468672	17	13	14.7724359	8	6	7	3	1	2.388888889	2	1	1.789473684	3	2	2.125	9	894.577	461.441	653.677	10	1
55	1	11	1	1	1	3	415	1	4	0	0	0	0	0	0	0	0	12	1	0	0	0	0	22	16	18.70833333	25	19	21.36050725	27	17	21.16666667	8	6	7	6	2	4.208333333	5	2	4.208333333	6	2	4.666666667	2	1013.533	566.356	771.777	10	1
56	1	9	1	1	1	3	103	1	4	0	0	0	0	0	0	0	0	3	1	0	0	0	0	23	14	19.0	27	19	23.16403509	25	14	19.50263158	8	5	7	4	2	2.631578947	3	0	1.65	3	1	2.105263158	9	944.452	528.956	738.631	10	1
57	1	18	2	1	1	3	103	1	4	0	0	0	0	0	0	0	0	12	1	0	0	0	0	31	28	29.31578947	30	24	27.36744639	32	27	29.13508772	11	10	10	4	0	2.736842105	5	1	2.722222222	4	2	3.0	6	1003.716	597.062	780.203	9	1
58	1	12	1	1	1	2	277	4	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	32	29	30.75	34	24	29.73538012	33	29	30.88888889	11	10	11	3	1	2.125	2	0	1.421052632	4	1	2.291666667	6	1363.338	875.215	1106.305	3	1
59	1	12	1	1	1	3	624	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	23	13	17.83333333	25	10	17.30434783	25	13	19.95833333	8	5	6	2	1	1.625	3	0	2.260869565	6	2	3.333333333	1	1051.114	561.384	788.854	10	1
60	1	17	1	1	1	3	117	1	4	0	0	0	0	0	0	0	0	29	1	0	0	0	0	32	28	29.52631579	33	25	28.60614035	34	25	29.47894737	11	10	10	2	0	0.842105263	2	0	1.105263158	3	0	1.4	6	1105.419	710.418	895.482	10	1
61	1	19	1	1	1	3	0	1	4	0	0	0	0	0	0	0	0	40	1	0	0	0	0	24	21	22.26086957	25	18	20.79045894	21	9	12.02173913	9	8	8	6	1	4.304347826	5	1	3.565217391	7	3	6.304347826	1	952.016	524.285	711.621	9	1
62	1	19	1	1	1	3	298	3	4	0	0	0	0	0	0	0	0	35	1	0	0	0	0	29	24	26.52631579	32	26	29.01666667	30	24	28.16403509	10	9	9	3	0	1.105263158	2	0	1.684210526	5	2	2.55	1	1083.752	679.85	871.873	10	1
63	1	16	2	1	1	3	132	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	32	27	30.22222222	33	24	28.91842105	33	27	29.99736842	11	10	11	3	1	1.722222222	2	1	1.6	3	2	2.25	1	1080.597	743.429	901.948	9	1
64	1	20	2	1	1	2	233	1	4	0	0	0	0	0	0	0	0	37	4	0	0	0	0	33	24	27.83333333	34	24	30.19444444	33	27	29.88194444	12	9	10	2	1	1.958333333	2	1	1.916666667	2	1	1.916666667	9	1552.711	1031.02	1282.967	9	1
65	1	21	2	1	1	1	190	1	4	0	0	0	0	0	0	0	0	26	1	0	0	0	0	32	26	29.31578947	32	26	29.16842105	32	24	28.08684211	11	9	10	4	0	2.421052632	4	2	2.526315789	4	0	2.3	1	1048.041	662.196	851.425	10	1
66	1	19	1	1	1	3	258	1	4	0	0	0	0	0	0	0	0	37	3	0	0	0	0	25	17	21.29166667	28	17	22.45531401	26	14	19.1062643	9	6	8	3	1	2.041666667	2	0	1.333333333	4	1	2.421052632	2	1082.913	642.678	861.079	10	1
67	1	12	1	1	1	3	87	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	30	24	26.84210526	29	21	24.57962963	32	16	21.94122807	11	9	9	2	0	1.421052632	3	1	1.65	4	1	2.15	1	981.033	564.136	764.805	10	1
68	1	10	1	1	1	3	126	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	28	21	24.68421053	29	21	24.93703704	29	22	25.92982456	10	8	9	3	1	1.947368421	3	1	1.65	3	1	2.0	2	1049.461	623.581	822.476	10	1
69	1	10	1	1	1	3	113	1	4	0	0	0	0	0	0	0	0	3	1	0	0	0	0	27	24	25.0	29	20	23.92753623	29	25	26.50724638	10	9	9	4	2	2.652173913	3	1	1.782608696	4	3	3.0	1	1220.453	782.563	985.06	10	1
70	1	18	1	1	1	3	453	1	4	0	0	0	0	0	0	0	0	9	2	0	0	0	0	17	12	14.70833333	15	10	11.63888889	26	16	22.16666667	6	5	5	2	0	1.333333333	3	0	2.0	3	0	1.875	2	746.835	328.712	535.547	10	1
71	1	21	1	1	1	3	268	1	4	0	0	0	0	0	0	0	0	3	2	0	0	0	0	30	25	26.625	31	23	27.26388889	31	23	27.73611111	11	9	9	5	1	3.333333333	5	1	2.791666667	5	2	3.541666667	2	1310.008	858.221	1082.906	10	1
72	1	9	1	1	1	3	0	1	4	0	0	0	0	0	0	0	0	37	2	0	0	0	0	25	18	21.41666667	25	19	21.56944444	28	18	23.20833333	9	7	8	7	1	2.833333333	4	2	2.833333333	6	1	2.25	9	1190.352	711.863	936.075	6	1
73	1	15	1	1	1	3	45	4	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	26	18	21.7	29	21	25.21578947	28	20	24.45087719	9	7	8	3	1	2.15	3	1	1.789473684	3	2	2.5	9	1079.87	601.987	827.23	10	1
74	1	16	1	1	1	3	192	1	4	0	0	0	0	0	0	0	0	9	1	0	0	0	0	30	27	28.38297872	32	25	28.51409347	31	26	28.27320382	11	10	10	3	1	1.808510638	2	0	1.510638298	3	1	1.891304348	6	1125.609	669.025	902.836	10	1
75	1	11	1	1	1	3	289	2	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	29	22	25.27777778	29	19	24.12982456	30	19	24.28333333	10	8	9	3	1	1.5	2	0	1.263157895	4	1	2.2	2	896.951	522.767	679.278	2	1
76	1	20	1	1	1	3	51	1	4	0	0	0	0	0	0	0	0	37	3	0	0	0	0	12	7	8.875	9	4	5.958333333	14	8	10.82548309	5	3	3	3	2	2.166666667	3	1	2.375	3	1	1.875	2	1172.311	593.855	864.543	10	1
77	1	19	1	1	1	3	173	1	4	0	0	0	0	0	0	0	0	37	2	0	0	0	0	14	11	12.15789474	15	9	12.37807018	23	12	17.66403509	5	4	5	3	1	2.263157895	3	1	2.15	3	2	2.1	9	972.932	485.88	699.022	10	1
78	1	18	1	1	1	3	360	1	4	0	0	0	0	0	0	0	0	37	3	0	0	0	0	21	8	13.54166667	19	4	11.625	22	8	13.72222222	8	3	5	3	1	1.375	2	1	1.375	5	1	3.041666667	9	1332.755	780.066	1024.451	10	1
79	1	17	2	1	1	3	160	1	4	0	0	0	0	0	0	0	0	26	1	0	0	0	0	19	10	14.66666667	20	9	14.125	21	11	16.20833333	7	4	5	2	0	1.5	3	1	1.916666667	3	1	2.041666667	9	1293.082	749.004	976.177	10	1
80	1	8	1	1	1	3	1028	4	4	0	0	0	0	0	0	0	0	13	1	0	0	0	0	15	10	12.21052632	18	11	14.0	17	8	12.20087719	6	4	5	4	2	2.736842105	3	0	1.894736842	4	1	2.263157895	9	959.811	502.023	700.605	2	1
81	1	23	1	1	1	3	409	1	4	0	0	0	0	0	0	0	0	31	4	0	0	0	0	15	11	12.1	24	16	20.54385965	20	10	14.67631579	6	4	5	3	1	2.05	2	0	1.736842105	3	1	1.8	9	826.847	437.229	606.395	10	1
82	1	10	2	1	1	3	1107	1	4	0	0	0	0	0	0	0	0	37	2	0	0	0	0	27	20	23.04166667	29	20	24.16666667	28	19	23.34722222	10	7	8	3	1	1.833333333	2	0	1.166666667	3	1	1.75	9	1187.883	721.773	956.952	9	1
83	1	15	1	1	1	3	69	1	4	0	0	0	0	0	0	0	0	26	1	0	0	0	0	28	25	26.5	33	24	26.76388889	33	25	27.79589372	10	9	9	4	1	2.375	3	0	2.125	3	0	1.708333333	1	1258.827	744.707	995.389	10	1
84	1	12	2	1	1	3	99	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	29	24	26.68421053	33	24	28.52631579	31	22	25.62848297	10	9	9	5	2	3.894736842	4	2	3.315789474	5	3	4.473684211	9	964.37	583.123	763.446	9	1
85	1	11	2	1	1	3	155	2	4	0	0	0	0	0	0	0	0	16	1	0	0	0	0	24	20	21.78947368	30	21	24.66491228	29	22	25.90877193	9	7	8	3	1	1.947368421	3	1	1.8	3	1	1.947368421	9	1057.317	677.172	857.514	9	1
86	1	9	2	1	1	3	83	2	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	25	18	21.0	24	10	18.17375804	25	19	21.77272727	9	7	8	3	2	2.272727273	2	0	1.086956522	3	2	2.272727273	1	1120.205	609.835	850.607	3	1
87	1	16	1	1	1	3	181	1	4	0	0	0	0	0	0	0	0	12	2	0	0	0	0	26	20	22.08333333	25	17	21.25483092	25	19	21.79347826	9	7	8	3	0	1.541666667	3	1	1.958333333	4	2	2.47826087	1	713.484	347.646	533.809	10	1
88	1	13	1	1	1	3	49	1	4	0	0	0	0	0	0	0	0	29	2	0	0	0	0	28	19	23.68421053	30	20	25.05263158	28	18	23.47280702	10	7	8	4	1	2.105263158	2	1	1.736842105	4	1	2.210526316	9	1020.371	626.16	822.433	10	1
89	1	20	1	1	1	3	0	1	4	0	0	0	0	0	0	0	0	37	2	0	0	0	0	31	27	29.125	33	29	30.56944444	32	23	27.83333333	11	10	10	3	2	2.333333333	3	1	2.125	3	1	1.916666667	6	1277.508	889.141	1075.994	9	1
90	1	17	1	1	1	3	56	1	4	0	0	0	0	0	0	0	0	29	2	0	0	0	0	33	27	30.08695652	33	26	29.15942029	34	26	29.97101449	12	10	11	5	0	1.52173913	5	0	1.434782609	5	0	2.347826087	6	1388.592	940.463	1178.026	2	1
91	1	15	2	1	1	1	447	3	4	0	0	0	0	0	0	0	0	24	1	0	0	0	0	28	9	22.42105263	27	20	22.75701754	26	13	20.17755991	10	4	8	3	2	2.684210526	2	1	1.85	5	4	4.882352941	1	906.57	517.73	686.069	3	1
92	1	11	2	1	1	3	131	3	4	0	0	0	0	0	0	0	0	18	1	0	0	0	0	33	30	31.16666667	33	27	30.60606061	34	30	31.20454545	12	11	11	6	0	5.0	5	1	4.090909091	6	1	5.083333333	1	1428.6	960.273	1169.922	10	1
93	1	10	1	1	1	3	240	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	31	30	30.375	33	28	30.05253623	33	23	28.43055556	11	11	11	3	1	2.208333333	3	1	2.125	4	2	2.541666667	6	1253.591	824.123	1037.794	10	1
94	1	15	1	1	1	3	244	1	4	0	0	0	0	0	0	0	0	37	2	0	0	0	0	24	17	20.43478261	25	17	20.94323671	26	19	21.80434783	9	6	7	3	1	2.173913043	3	1	1.958333333	4	2	2.47826087	1	1027.922	378.5	687.302	10	1
95	1	11	1	1	1	3	62	1	4	0	0	0	0	0	0	0	0	3	1	0	0	0	0	31	26	27.58333333	30	25	26.8099839	27	19	22.44927536	11	9	10	3	2	2.916666667	3	1	1.791666667	4	2	2.695652174	3	1197.518	664.245	873.568	3	1
